11111	0
11112	1
11113	10
11114	100
11115	1000
11116	101
11121	11
11122	111
11123	1111
11124	12
11125	123
11126	1234
11131	13
11132	14
11133	15
11134	1500
11135	16
11136	1600
11141	17
11142	1700
11143	18
11144	1800
11145	19
11146	1900
11151	1910
11152	1920
11153	1925
11154	1930
11155	1935
11156	1940
11161	1945
11162	1950
11163	1955
11164	1960
11165	1965
11166	1970
11211	1975
11212	1980
11213	1985
11214	1990
11215	1991
11216	1992
11221	1993
11222	1994
11223	1995
11224	1996
11225	1997
11226	1998
11231	1999
11232	2
11233	20
11234	200
11235	2000
11236	2001
11241	2002
11242	2003
11243	2004
11244	2005
11245	2006
11246	2007
11251	2008
11252	2009
11253	2010
11254	2015
11255	2020
11256	2030
11261	2035
11262	2040
11263	2045
11264	2050
11265	21
11266	22
11311	222
11312	2222
11313	23
11314	234
11315	2345
11316	24
11321	2468
11322	25
11323	26
11324	27
11325	28
11326	29
11331	3
11332	30
11333	300
11334	3000
11335	31
11336	32
11341	33
11342	333
11343	3333
11344	34
11345	345
11346	3456
11351	35
11352	36
11353	37
11354	38
11355	39
11356	4
11361	40
11362	400
11363	4000
11364	41
11365	42
11366	43
11411	4321
11412	44
11413	444
11414	4444
11415	45
11416	456
11421	4567
11422	46
11423	47
11424	48
11425	49
11426	5
11431	50
11432	500
11433	5000
11434	51
11435	52
11436	53
11441	54
11442	55
11443	555
11444	5555
11445	56
11446	567
11451	5678
11452	57
11453	58
11454	59
11455	6
11456	60
11461	600
11462	6000
11463	61
11464	62
11465	63
11466	64
11511	65
11512	66
11513	666
11514	6666
11515	67
11516	678
11521	6789
11522	68
11523	69
11524	7
11525	70
11526	700
11531	7000
11532	71
11533	72
11534	73
11535	74
11536	75
11541	76
11542	77
11543	777
11544	7777
11545	78
11546	789
11551	79
11552	8
11553	80
11554	800
11555	8000
11556	81
11561	82
11562	83
11563	84
11564	85
11565	86
11566	87
11611	88
11612	888
11613	8888
11614	89
11615	9
11616	90
11621	900
11622	9000
11623	91
11624	92
11625	93
11626	94
11631	95
11632	96
11633	97
11634	98
11635	9876
11636	99
11641	999
11642	9999
11643	a
11644	aa
11645	aaa
11646	aaaa
11651	aayuu
11652	ab
11653	abc
11654	abiru
11655	abuku
11656	abunai
11661	abura
11662	aburae
11663	ac
11664	acchi
11665	achi
11666	achira
12111	ad
12112	adana
12113	ae
12114	aen
12115	aete
12116	af
12121	ag
12122	agari
12123	agaru
12124	age
12125	ageku
12126	ageru
12131	ago
12132	agura
12133	ah
12134	aho
12135	ahou
12136	ai
12141	aida
12142	aidoku
12143	aigo
12144	aijaku
12145	aijin
12146	aijou
12151	aiken
12152	aikoku
12153	aikou
12154	aima
12155	aimai
12156	ainiku
12161	ainori
12162	aishou
12163	aishuu
12164	aiso
12165	aisou
12166	aisu
12211	aisuru
12212	aitai
12213	aite
12214	aitou
12215	aitsu
12216	aiyou
12221	aizu
12222	aj
12223	aji
12224	ajiwai
12225	ajiwau
12226	ak
12231	aka
12232	akai
12233	akairo
12234	akaji
12235	akari
12236	akarui
12241	akashi
12242	akasu
12243	ake
12244	akeru
12245	aki
12246	akichi
12251	akikan
12252	akinai
12253	akindo
12254	akiru
12255	akiudo
12256	akiya
12261	akka
12262	akkan
12263	akke
12264	akkou
12265	ako
12266	aku
12311	akubi
12312	akugi
12313	akui
12314	akuji
12315	akujo
12316	akuma
12321	akumu
12322	akunin
12323	akuru
12324	akusei
12325	akushu
12326	akuta
12331	akuto
12332	akuyou
12333	al
12334	am
12335	ama
12336	amado
12341	amae
12342	amaeru
12343	amagu
12344	amai
12345	amami
12346	amari
12351	amaru
12352	amasu
12353	ame
12354	ami
12355	amido
12356	amo
12361	amu
12362	an
12363	ana
12364	anata
12365	anaume
12366	anbai
12411	anchan
12412	anda
12413	andake
12414	ane
12415	anesan
12416	angai
12421	angou
12422	angya
12423	ani
12424	aniki
12425	anisan
12426	anji
12431	anjuu
12432	anka
12433	anken
12434	anki
12435	anko
12436	ankoku
12441	anma
12442	anmari
12443	anmin
12444	anmoku
12445	anna
